gene,pval,qval,log2fc,mean,zero_mean,zero_variance
KIFC2,0.6676966843632561,0.8238203178332901,0.030568594074235726,-0.026059800955439416,False,False
GPT,0.2870443821721732,0.5171960679563914,0.03999049464223637,0.016828350650419054,False,False
APOL7E,0.0324341597284486,0.11815945045670065,-0.23293733317196763,0.006158762895692081,False,False
NCF4,0.02561963022008047,0.09907451406786363,-0.1103577521632373,0.09623394969394941,False,False
MPST,0.5849212369645057,0.763961842327283,0.15329744796222822,0.06625940833822333,False,False
IL2RB,0.02710033491926347,0.10335507041622552,0.4747116589549057,-0.17168158907364692,False,False
C1QTNF6,0.49088100885788377,0.7028927962154576,-0.012578009618080513,0.01077929929648061,False,False
CYTH4,2.6937757769475623e-05,0.000300334275131452,-0.3865178188946244,0.035224826862372764,False,False
GGA1,0.3266057927832394,0.5597158775059512,0.08100505930722811,-0.08005548698196263,False,False
TRIOBP,0.00022162372867203217,0.0020157552953229243,0.4303239176057705,0.003906994387402649,False,False
H1F0,0.003073543176788782,0.019054589425607584,0.25379786669367305,-0.03946974589561444,False,False
SUN2,0.28311160660613743,0.5128373826564464,0.01380441874114224,-0.006285516396832932,False,False
CBX7,0.2399240130403516,0.467834905540601,0.04349676910296691,0.045599226110238894,False,False
CACNA1I,0.1584821941371246,0.35697837675983424,0.12841183516695853,0.00045542480259001816,False,False
GRAP2,0.5155229678381825,0.7249340035705537,-0.12527778994582772,-0.013957432082182244,False,False
TNRC6B,0.5411771423466222,0.7321063935174683,-0.13524140328139556,0.0525180790547161,False,False
XPNPEP3,0.9543474182723211,0.9749222395699477,-0.061529424143282205,-0.04896702936230916,False,False
GM8444,0.732102230011531,0.8674707985586718,-0.013979531845744728,-0.023577450681608773,False,False
TNFRSF13C,0.8797200931702047,0.9420705103081395,-0.112979788909376,0.06426073182190856,False,False
NAGA,0.40960637837963765,0.6341330549942319,0.039878866817007114,0.04289604362713385,False,False
SERHL,0.01415262908934022,0.0639577132207624,0.2562213629055352,0.07484817929544949,False,False
ARFGAP3,0.22800823001641213,0.454744128363387,0.08844488871174577,0.03180652629071912,False,False
LDOC1L,0.3623435202446065,0.5944263306250424,0.0887589884871611,-0.004547175360547509,False,False
PHF21B,0.8287522520288471,0.9175496757416185,-0.028334321773985344,-0.027100974316649797,False,False
5031439G07RIK,0.011658743878475613,0.05491725182961681,0.2212158663513286,-0.019014666215863747,False,False
TTC38,0.41499301387001253,0.6388951466317286,0.009217571406727413,0.0561957877868087,False,False
CELSR1,0.013866617792653592,0.0629576325068755,0.1873915224581874,-0.003228591652862132,False,False
GRAMD4,0.01764763488768852,0.07438370497630908,0.20191528534090072,0.05351635028834752,False,False
ALG12,0.6039062868420497,0.7802807865038632,-0.15204283721141293,0.009144189540930776,False,False
SELO,0.2065205713511663,0.4237395546317033,-0.21781026321171432,0.07876617968103386,False,False
MAPK11,0.6335818877504935,0.8004380738753869,-0.004467188893510761,0.0026603237681258494,False,False
PPP6R2,0.36683976641929694,0.5952534942191057,-0.1752731304282727,-0.00032462968730725267,False,False
C730034F03RIK,0.2967617751781457,0.5263180276709768,0.017041383318332486,0.010990563370077838,False,False
C230037L18RIK,0.9126492093334045,0.9554998348378886,-0.05993992286280325,0.023515008657164715,False,False
IRAK4,0.44189819155684507,0.6673121243335208,0.024645685576593152,0.014058665788317236,False,False
A130051J06RIK,0.8629748383373076,0.9318248649018751,-0.01839128723748481,-0.04457055701862407,False,False
2610037D02RIK,0.6692045151572378,0.8247826030047298,-0.06646873631654396,-0.005647408701322248,False,False
PCED1B,0.5484190885770102,0.7325501352248469,-0.1517657268061741,0.04272833024970297,False,False
ENDOU,0.1947746022603677,0.40892313990122753,0.07538441367751307,-0.056389216255035075,False,False
HDAC7,2.596673862535764e-06,3.435312550196836e-05,0.5257274880557632,-0.006019484959071203,False,False
KMT2D,0.02736243688675863,0.1039246400987467,0.21071348242795704,-0.025413326950515878,False,False
LMBR1L,0.7436067300612323,0.870479512539927,-0.11826765751497272,0.0517266999049906,False,False
TUBA1C,1.8033318056621797e-21,8.596918004579184e-20,1.1172822171403523,-0.22797652659872247,False,False
BCDIN3D,0.48920468598766786,0.7018321726180816,-0.02791390212226445,0.021733919218832262,False,False
RACGAP1,8.302313238733366e-10,1.6756128543866977e-08,0.8167014309040378,-0.05091360777239255,False,False
DIP2B,0.1517638037483874,0.3482779661617384,0.12122995790500012,0.027411783305317704,False,False
METTL7A1,0.8421841195699558,0.9236965849309511,-0.04749803684107343,0.04577754070633909,False,False
SLC11A2,0.6773031150766746,0.8297488317177694,-0.026849346980411644,5.270672749869455e-05,False,False
LETMD1,0.058720608810981845,0.18519102710482652,0.12398495336362929,-0.007816040487606313,False,False
TFCP2,0.9511287831089209,0.9749222395699477,-0.04895036314688685,0.01232174495772135,False,False
POU6F1,0.6210430420399842,0.7909645376511084,-0.003473673335379972,0.07266460795023605,False,False
C330013E15RIK,0.9564935920021482,0.9749222395699477,-0.09281848142198228,0.03198140144214537,False,False
BIN2,0.24679798715075807,0.474073158953393,0.1522176844483042,0.1290681935459082,False,False
CELA1,0.2965682342813504,0.5263180276709768,0.031379556766547946,0.05536487441819093,False,False
GALNT6,0.4727647376817987,0.6854716831096872,-0.1805029723561912,-0.0036304338446146306,False,False
NR4A1,0.46253732362614786,0.6793731631473269,-0.0032283830795868914,-0.07522552831389229,False,False
SPRYD3,0.001445041207092094,0.010271308322903959,0.29562164500085386,0.006335192361293797,False,False
IGFBP6,0.6942772737793843,0.8430727545015361,-0.11682899711183059,0.009636594399118223,False,False
SOAT2,0.742529502337737,0.870192866884501,-0.13866192591597218,-0.0013440934844241685,False,False
CSAD,0.8477017029457772,0.9266823802995505,-0.02711598055189969,-0.025858936684648864,False,False
CALCOCO1,0.1825920765048975,0.391977555540405,-0.20988604702236685,0.05157000889003528,False,False
SMUG1,0.26175160965830047,0.4867136521218566,-0.1741555656651348,-0.03155784326724698,False,False
NCKAP1L,0.5583623806924667,0.7422461454878223,0.08486115622101843,0.021094688002161587,False,False
ZFP263,0.8639111377280312,0.9318248649018751,-0.05494279092849011,0.005014965575287949,False,False
ZFP597,0.7312808456793518,0.8674707985586718,-0.03945711161251311,0.004253988315347378,False,False
GM15537,0.8278504565228895,0.9175496757416185,-0.026671163548816556,0.002625171790677535,False,False
NLRC3,0.004902693593905153,0.027391271000051,0.26251901017868495,0.06645144649510142,False,False
CORO7,0.3737301932464756,0.5987138597597512,0.10111427049526583,0.023901442450938847,False,False
MGRN1,0.06369982659157586,0.19354947310517281,0.1578082169907447,0.028097642069543627,False,False
ANKS3,0.4088431580521621,0.6336610605460921,0.010863418503195294,-0.037565614719011944,False,False
ALG1,0.5941293406011268,0.7723402100433077,-0.042162578754922714,-0.12265402522938831,False,False
CARHSP1,1.5356909699165352e-05,0.00017652409195322594,0.5798283715073159,0.08298137042089856,False,False
1810013L24RIK,0.25882432066854333,0.4832372157421109,0.021994087296915713,-0.06767450169294695,False,False
RPL39L,0.9372106953867732,0.9727880326713322,-0.022711492224929648,0.00693991606697799,False,False
SOCS1,0.030338441993498305,0.11199705221898908,-0.33186693492561237,0.011799244584748854,False,False
TNP2,0.0005250687918282835,0.004282640735708566,0.3518695706146936,0.04610003345500567,False,False
SNN,0.001538226537596266,0.010822382637286708,0.3106632583942308,0.044308136944277876,False,False
SNX29,0.9509461669025981,0.9749222395699477,-0.024294170925097065,0.008368509951762792,False,False
ERCC4,0.04227215065932592,0.1448358074015318,0.12759005369101548,0.004495212617009331,False,False
BFAR,0.9303032180714018,0.9670257135215887,-0.004273537772253698,-0.05991540331545425,False,False
NTAN1,0.03028148980869314,0.1119362557767868,0.03796169290374288,0.04097223828865003,False,False
MPV17L,0.887508341252341,0.9447158226752297,0.0016286708330683808,0.001702223980567469,False,False
MARF1,0.00172539522102401,0.011779550089213305,0.34533495005925735,0.037457045539689635,False,False
VPREB1,0.462681856583122,0.6793731631473269,0.05768869414806937,0.013587022344313257,False,False
1700056N10RIK,0.7950070835598572,0.8992787702426663,-0.03703932878523789,0.013147842277197688,False,False
YPEL1,0.25593778739698014,0.48266488306131766,-0.229830399403408,0.048967932163621136,False,False
SNAP29,0.05309798524017811,0.17354128745755612,0.13325632846778757,-0.013867078451164664,False,False
KLHL22,0.28147298550666455,0.5113487548790588,0.05520544933262274,0.021401900186124173,False,False
COMT,1.2340843711240457e-11,2.843536071798322e-10,0.8222919258252736,-0.3029505660660492,False,False
B3GNT5,0.5713785991317384,0.7523151555234555,-0.03216668911279998,0.07321954158078434,False,False
KLHL6,1.030807071651411e-17,3.7015344845664307e-16,-0.8408343266938305,0.2058135602838044,False,False
KLHL24,0.44650348991755984,0.6708386161497686,-0.1744606736366811,0.0869787248629558,False,False
DVL3,0.0532726143015287,0.17370138979213073,0.178610303283446,0.03267531261455828,False,False
IGF2BP2,0.22054626393252597,0.44544240529870727,-0.1882544937790121,0.01797487583592974,False,False
ETV5,0.5421413154983701,0.7321063935174683,0.050833874143473616,-0.06702080220193635,False,False
BCL6,0.6833699240031814,0.8342242118626034,-0.019056563829335477,-0.001610740647898822,False,False
LPPOS,0.07612712325155718,0.2186598031260607,-0.30390387263749036,0.08151613908352227,False,False
LPP,0.008969344990682453,0.04476577418634835,-0.4074433564838981,0.059365306159615015,False,False
NRROS,0.8280952815964354,0.9175496757416185,-0.03898135116841927,-0.097796609916013,False,False
LRCH3,0.6749366988937353,0.8283917200997231,-0.044425375990156044,0.06086109515735369,False,False
IQCG,0.7674198486811202,0.8875852013792174,-0.04729537913618827,0.011852850574926695,False,False
SNX4,0.050978409486911576,0.16800393591336174,-0.08053915830604076,-0.00028735832553540043,False,False
1700007L15RIK,0.4077506378514376,0.6328445091931343,-0.17816328275264867,0.010416660620274257,False,False
ZFP148,0.0019407641528563268,0.013056479033206189,0.30651834752144896,-0.03238392808853154,False,False
DIRC2,0.46659299704042445,0.6793731631473269,-0.05187084353685092,-0.0479626289808549,False,False
HSPBAP1,0.44046245271726814,0.6666002636908848,-0.006926233533017133,0.0014902681861211624,False,False
PARP14,0.1742770597633455,0.380709529573035,-0.20717997794067924,0.08371248335673169,False,False
DTX3L,0.0003509995287556675,0.0029861959907982174,-0.48595265193192566,0.061236516123247216,False,False
PARP9,0.005458363565208828,0.02978657494120745,-0.25615195816470726,0.08281356928629065,False,False
WDR5B,0.20641885963963036,0.4237395546317033,0.056650791614449685,0.017587140653774914,False,False
CD86,0.003701547678265309,0.02210535492527771,-0.4518691624306813,0.05871756907169997,False,False
ILDR1,0.4808405983891815,0.6942685402329435,-0.009016969767869466,0.05895240129130131,False,False
SLC15A2,0.7233306348568721,0.8661798204327636,0.028560843751195792,0.012473789946884754,False,False
GSK3B,0.005233468237903748,0.028999077510628985,0.445649872065602,0.04157941431100526,False,False
POPDC2,1.121174919902492e-07,1.856316559000234e-06,0.5657379834069456,0.046236286728358625,False,False
ARHGAP31,0.5979147272102103,0.775802074489081,-0.11730758183351907,-0.000542880257306054,False,False
ZBTB20,0.633692203874583,0.8004380738753869,-0.1547919993678646,0.0538921798769327,False,False
TIGIT,0.14985427399607815,0.34557720400263225,-0.22085620763271172,0.002692257186447687,False,False
SIDT1,0.325077328458221,0.5577732970483412,-0.2014837862443438,0.10619051644444968,False,False
SPICE1,0.0627262029416653,0.1918561406346289,0.12049384797424702,0.062397887521592366,False,False
CD200R4,0.0882969869345718,0.24463042973355817,-0.29162373629889704,0.059390544409322676,False,False
BTLA,0.4751242565092205,0.688171068228389,0.0001781874624384684,-0.015416339079098862,False,False
CD200,0.00010206539409341118,0.0010043089489974444,0.34315847736584143,0.03129657410326218,False,False
PLCXD2,0.31420752162508503,0.5471024973468861,0.00662055679267479,-0.008167810943737395,False,False
CD96,3.1681072273119424e-11,7.007853186814017e-10,-0.7721057490938649,0.10443394265429716,False,False
